accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.0,0.075,0.075,0.0,-0.984375,0.0037500000000000033,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.0925,0.024999999999999994,0.5625,0.016062500000000014,4,4,5,4,1,7,1,1,1,0,3
0.0,0.0,0.08325,0.022499999999999996,0.0,0.015259375000000013,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.099925,0.04524999999999999,-3.15625,0.02699640625000002,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.11493249999999999,0.06572499999999998,4.625,0.03814658593750003,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.15343924999999997,0.10915249999999997,17.5625,0.06123925664062505,4,4,4,4,2,8,0,0,0,0,4
0.75,0.75,0.21309532499999997,0.17323724999999995,-4.53125,0.09567729380859383,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.21678579249999996,0.18091352499999996,3.203125,0.10339342911816414,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.24510721324999996,0.21282217249999996,12.15625,0.12322375766225595,4,4,4,4,2,8,0,0,0,0,4
0.5,0.575,0.27809649192499997,0.24153995524999997,-0.28125,0.14581256977914317,4,4,5,4,3,7,1,0,0,0,4
